Date,MARUTI.NS,HEROMOTOCO.NS,EICHERMOT.NS,BAJAJ-AUTO.NS
2017-08-30,7017.64404296875,2992.613037109375,2897.7236328125,2206.183837890625
2017-08-31,7150.29052734375,2997.86572265625,2941.385009765625,2257.47802734375
2017-09-01,7254.2900390625,3038.273681640625,2971.45751953125,2339.1708984375
2017-09-04,7262.833984375,2985.70947265625,2969.694091796875,2338.2080078125
2017-09-05,7258.8408203125,2979.36865234375,2986.6923828125,2366.722412109375
2017-09-06,7286.1875,2964.5107421875,3000.468017578125,2342.5390625
2017-09-07,7353.55517578125,2988.71044921875,3073.35546875,2378.552490234375
2017-09-08,7401.42236328125,2968.562744140625,3050.51708984375,2338.448486328125
2017-09-11,7560.81298828125,2959.89599609375,3039.373779296875,2349.798095703125
2017-09-12,7572.0478515625,2940.685791015625,3054.6416015625,2354.73095703125
2017-09-13,7542.42626953125,2921.663330078125,3013.916748046875,2354.08935546875
2017-09-14,7493.81591796875,2919.93798828125,2998.841064453125,2348.795654296875
2017-09-15,7521.208984375,2917.499267578125,2993.486572265625,2426.798583984375
2017-09-18,7575.15869140625,2963.947998046875,3064.391357421875,2516.471923828125
2017-09-19,7550.87646484375,2959.708251953125,3030.52197265625,2498.8662109375
2017-09-20,7540.1513671875,2893.524658203125,3034.220458984375,2478.894287109375
2017-09-21,7563.1806640625,2923.80224609375,2976.311279296875,2469.51025390625
2017-09-22,7491.9130859375,2844.82470703125,2953.42578125,2440.31396484375
2017-09-25,7396.037109375,2818.410400390625,2897.335693359375,2441.63720703125
2017-09-26,7326.34716796875,2842.272705078125,2883.064208984375,2442.27880859375
2017-09-27,7187.1083984375,2796.9873046875,2849.67138671875,2431.330322265625
2017-09-28,7333.265625,2806.47998046875,2823.017578125,2437.907470703125
2017-09-29,7408.34033203125,2832.367919921875,2919.168212890625,2494.013427734375
2017-10-03,7324.86181640625,2856.155517578125,2912.996337890625,2536.364013671875
2017-10-04,7286.6982421875,2847.638427734375,2888.427490234375,2545.427490234375
2017-10-05,7271.701171875,2818.03564453125,2879.45849609375,2511.178466796875
2017-10-06,7338.69775390625,2779.390869140625,2949.830078125,2519.800537109375
2017-10-09,7332.66259765625,2758.71728515625,2980.9736328125,2506.886962890625
2017-10-10,7329.876953125,2772.8623046875,2950.20458984375,2514.306396484375
2017-10-11,7266.22216796875,2768.58544921875,2921.96923828125,2521.685546875
2017-10-12,7339.67333984375,2814.6962890625,2930.638916015625,2531.31103515625
