date,pair,fold,pnl,equity,event
2020-06-29,HDFCBANK__KOTAKBANK,2,0.0,195037.14815556566,flat
2020-06-30,HDFCBANK__KOTAKBANK,2,0.0,195037.14815556566,flat
2020-07-01,HDFCBANK__KOTAKBANK,2,0.0,195037.14815556566,flat
2020-07-02,HDFCBANK__KOTAKBANK,2,0.0,195037.14815556566,flat
2020-07-03,HDFCBANK__KOTAKBANK,2,0.0,195037.14815556566,flat
2020-07-06,HDFCBANK__KOTAKBANK,2,0.0,195037.14815556566,flat
2020-07-07,HDFCBANK__KOTAKBANK,2,0.0,195037.14815556566,flat
2020-07-08,HDFCBANK__KOTAKBANK,2,-986.8779890451128,194050.27016652055,entry
2020-07-09,HDFCBANK__KOTAKBANK,2,-74.61247114458476,193975.65769537596,hold
2020-07-10,HDFCBANK__KOTAKBANK,2,125.51015723325128,194101.16785260921,hold
2020-07-13,HDFCBANK__KOTAKBANK,2,329.2910282667995,194430.45888087602,hold
2020-07-14,HDFCBANK__KOTAKBANK,2,-161.64440649413785,194268.81447438188,hold
2020-07-15,HDFCBANK__KOTAKBANK,2,-18.559538627729026,194250.25493575414,hold
2020-07-16,HDFCBANK__KOTAKBANK,2,348.7125672055569,194598.9675029597,hold
2020-07-17,HDFCBANK__KOTAKBANK,2,-754.5462295390063,193844.4212734207,hold
2020-07-20,HDFCBANK__KOTAKBANK,2,-955.9069048921768,192888.51436852853,hold
2020-07-21,HDFCBANK__KOTAKBANK,2,566.7662317931292,193455.28060032165,hold
2020-07-22,HDFCBANK__KOTAKBANK,2,-14.431969780072773,193440.8486305416,hold
2020-07-23,HDFCBANK__KOTAKBANK,2,455.8607849422089,193896.70941548378,hold
2020-07-24,HDFCBANK__KOTAKBANK,2,-164.983168309878,193731.7262471739,hold
2020-07-27,HDFCBANK__KOTAKBANK,2,433.2246535075985,194164.95090068152,hold
2020-07-28,HDFCBANK__KOTAKBANK,2,107.87858602203141,194272.82948670356,exit
2020-07-29,HDFCBANK__KOTAKBANK,2,0.0,194272.82948670356,flat
2020-07-30,HDFCBANK__KOTAKBANK,2,0.0,194272.82948670356,flat
2020-07-31,HDFCBANK__KOTAKBANK,2,0.0,194272.82948670356,flat
2020-08-03,HDFCBANK__KOTAKBANK,2,0.0,194272.82948670356,flat
2020-08-04,HDFCBANK__KOTAKBANK,2,0.0,194272.82948670356,flat
2020-08-05,HDFCBANK__KOTAKBANK,2,0.0,194272.82948670356,flat
2020-08-06,HDFCBANK__KOTAKBANK,2,0.0,194272.82948670356,flat
2020-08-07,HDFCBANK__KOTAKBANK,2,0.0,194272.82948670356,flat
2020-08-10,HDFCBANK__KOTAKBANK,2,0.0,194272.82948670356,flat
2020-08-11,HDFCBANK__KOTAKBANK,2,0.0,194272.82948670356,flat
2020-08-12,HDFCBANK__KOTAKBANK,2,0.0,194272.82948670356,flat
2020-08-13,HDFCBANK__KOTAKBANK,2,0.0,194272.82948670356,flat
2020-08-14,HDFCBANK__KOTAKBANK,2,0.0,194272.82948670356,flat
2020-08-17,HDFCBANK__KOTAKBANK,2,0.0,194272.82948670356,flat
2020-08-18,HDFCBANK__KOTAKBANK,2,0.0,194272.82948670356,flat
2020-08-19,HDFCBANK__KOTAKBANK,2,0.0,194272.82948670356,flat
2020-08-20,HDFCBANK__KOTAKBANK,2,0.0,194272.82948670356,flat
2020-08-21,HDFCBANK__KOTAKBANK,2,0.0,194272.82948670356,flat
2020-08-24,HDFCBANK__KOTAKBANK,2,0.0,194272.82948670356,flat
2020-08-25,HDFCBANK__KOTAKBANK,2,0.0,194272.82948670356,flat
2020-08-26,HDFCBANK__KOTAKBANK,2,0.0,194272.82948670356,flat
2020-08-27,HDFCBANK__KOTAKBANK,2,0.0,194272.82948670356,flat
2020-08-28,HDFCBANK__KOTAKBANK,2,0.0,194272.82948670356,flat
2020-08-31,HDFCBANK__KOTAKBANK,2,0.0,194272.82948670356,flat
2020-09-01,HDFCBANK__KOTAKBANK,2,0.0,194272.82948670356,flat
2020-09-02,HDFCBANK__KOTAKBANK,2,0.0,194272.82948670356,flat
2020-09-03,HDFCBANK__KOTAKBANK,2,0.0,194272.82948670356,flat
2020-09-04,HDFCBANK__KOTAKBANK,2,0.0,194272.82948670356,flat
2020-09-07,HDFCBANK__KOTAKBANK,2,0.0,194272.82948670356,flat
2020-09-08,HDFCBANK__KOTAKBANK,2,-977.3087997354149,193295.52068696814,entry
2020-09-09,HDFCBANK__KOTAKBANK,2,-55.09912800995291,193240.4215589582,hold
2020-09-10,HDFCBANK__KOTAKBANK,2,24.34952593910531,193264.77108489728,hold
2020-09-11,HDFCBANK__KOTAKBANK,2,526.6361515377515,193791.40723643504,hold
2020-09-14,HDFCBANK__KOTAKBANK,2,51.884206034621144,193843.29144246966,hold
2020-09-15,HDFCBANK__KOTAKBANK,2,30.61607390771272,193873.90751637737,hold
2020-09-16,HDFCBANK__KOTAKBANK,2,-603.098990769469,193270.8085256079,hold
2020-09-17,HDFCBANK__KOTAKBANK,2,-131.33396065657107,193139.47456495132,hold
2020-09-18,HDFCBANK__KOTAKBANK,2,157.18031827576246,193296.65488322708,hold
2020-09-21,HDFCBANK__KOTAKBANK,2,419.568776136424,193716.2236593635,hold
2020-09-22,HDFCBANK__KOTAKBANK,2,31.432633712147506,193747.65629307565,hold
2020-09-23,HDFCBANK__KOTAKBANK,2,-231.41927715981123,193516.23701591583,hold
2020-09-24,HDFCBANK__KOTAKBANK,2,-123.13003814613656,193393.1069777697,hold
2020-09-25,HDFCBANK__KOTAKBANK,2,-237.64562284621425,193155.4613549235,hold
2020-09-28,HDFCBANK__KOTAKBANK,2,219.0669155808596,193374.52827050435,hold
2020-09-29,HDFCBANK__KOTAKBANK,2,-533.2551326051537,192841.2731378992,hold
2020-09-30,HDFCBANK__KOTAKBANK,2,-343.02782872698737,192498.24530917223,hold
2020-10-01,HDFCBANK__KOTAKBANK,2,-52.58270922517123,192445.66259994704,hold
2020-10-05,HDFCBANK__KOTAKBANK,2,-19.954801309663956,192425.7077986374,hold
2020-10-06,HDFCBANK__KOTAKBANK,2,-348.249900577911,192077.45789805948,hold
2020-10-07,HDFCBANK__KOTAKBANK,2,-761.3002796313142,191316.15761842817,hold
2020-10-08,HDFCBANK__KOTAKBANK,2,-894.5222945272367,190421.63532390093,hold
2020-10-09,HDFCBANK__KOTAKBANK,2,-1139.2001002314319,189282.4352236695,hold
2020-10-12,HDFCBANK__KOTAKBANK,2,394.3625877501605,189676.79781141967,hold
2020-10-13,HDFCBANK__KOTAKBANK,2,1028.7963931199165,190705.59420453958,hold
2020-10-14,HDFCBANK__KOTAKBANK,2,-195.4974946021511,190510.09670993744,hold
