Date,HDFCBANK.NS,ICICIBANK.NS,SBIN.NS,AXISBANK.NS,KOTAKBANK.NS,INDUSINDBK.NS,BANKBARODA.NS
2023-08-30,768.3307495117188,943.4359130859375,547.0571899414062,981.7526245117188,354.1830139160156,1377.1610107421875,180.23390197753906
2023-08-31,764.80224609375,943.2882690429688,541.2239990234375,971.9186401367188,350.96026611328125,1363.01806640625,176.001953125
2023-09-01,766.384033203125,953.0778198242188,549.1300659179688,989.5399780273438,353.4247131347656,1400.9964599609375,179.2464599609375
2023-09-04,771.177978515625,951.7495727539062,554.9149780273438,980.6544799804688,351.6487121582031,1406.1888427734375,183.8075408935547
2023-09-05,766.4813842773438,952.7826538085938,552.4563598632812,979.8557739257812,353.4147033691406,1408.117431640625,184.13670349121094
2023-09-06,776.507080078125,942.0584716796875,550.0460205078125,963.4823608398438,353.26507568359375,1393.1832275390625,183.3843536376953
2023-09-07,783.9777221679688,950.0770263671875,558.2894897460938,976.6110229492188,356.9966735839844,1423.7933349609375,184.5598907470703
2023-09-08,790.0856323242188,954.8980102539062,562.53173828125,978.7075805664062,357.8348083496094,1432.9417724609375,186.017578125
2023-09-11,794.173828125,962.4738159179688,570.4859619140625,998.7749633789062,360.7681579589844,1434.27685546875,190.71974182128906
2023-09-12,796.6558837890625,974.5262451171875,567.2560424804688,999.274169921875,361.42669677734375,1413.4581298828125,188.03948974609375
2023-09-13,800.0626831054688,973.8375244140625,575.0656127929688,1012.8021850585938,364.1007080078125,1439.07373046875,196.22125244140625
2023-09-14,799.5759887695312,971.7714233398438,575.8851318359375,1019.2416381835938,363.4920349121094,1442.238525390625,199.2776641845703
2023-09-15,808.7500610351562,976.44482421875,577.3313598632812,1025.4815673828125,361.9654846191406,1434.0791015625,198.24319458007812
2023-09-18,792.83544921875,974.2311401367188,582.2967529296875,1023.08544921875,358.86248779296875,1440.9034423828125,204.4030303955078
2023-09-20,761.030517578125,971.2302856445312,579.5489501953125,1025.6312255859375,357.08648681640625,1424.6339111328125,200.73533630371094
2023-09-21,755.9932861328125,943.8294067382812,567.063232421875,1012.8021850585938,350.35162353515625,1395.8040771484375,194.81060791015625
2023-09-22,744.4588623046875,934.9744873046875,576.7047119140625,1016.595947265625,350.5013122558594,1436.9473876953125,202.52215576171875
2023-09-25,745.1158447265625,940.9269409179688,572.7516479492188,1017.2948608398438,356.0787658691406,1426.9088134765625,204.45004272460938
2023-09-26,748.352294921875,933.4003295898438,573.089111328125,1012.5026245117188,352.0278625488281,1407.4251708984375,200.9234161376953
2023-09-27,743.0960693359375,927.890625,568.6058349609375,1023.5345458984375,352.2373962402344,1420.6778564453125,202.05194091796875
2023-09-28,741.5630493164062,927.398681640625,568.7987060546875,1029.225341796875,345.86175537109375,1397.4854736328125,198.10211181640625
2023-09-29,742.8284301757812,936.5487670898438,577.09033203125,1035.0159912109375,346.3606262207031,1413.161376953125,201.20555114746094
2023-10-03,733.9464111328125,925.1358032226562,581.3325805664062,1039.35888671875,344.6344909667969,1419.6395263671875,204.8732452392578
2023-10-04,744.41015625,915.0510864257812,565.2313232421875,993.9328002929688,343.6367492675781,1385.9139404296875,199.7478790283203
2023-10-05,747.4276123046875,925.6769409179688,570.9197998046875,1001.6203002929688,346.0712585449219,1386.457763671875,199.8889617919922
2023-10-06,746.600341796875,929.9568481445312,572.9445190429688,999.3240356445312,347.9969177246094,1419.046142578125,202.4751434326172
2023-10-09,737.937255859375,923.4632568359375,564.12255859375,994.6317138671875,343.08795166015625,1412.86474609375,199.13661193847656
2023-10-10,742.1227416992188,935.8600463867188,570.437744140625,1010.6056518554688,350.4314270019531,1404.9525146484375,201.5347137451172
2023-10-11,749.3013305664062,937.7293701171875,567.2560424804688,1017.444580078125,353.4845886230469,1405.5953369140625,194.85763549804688
2023-10-12,754.2899169921875,938.86083984375,565.0384521484375,1016.795654296875,351.97796630859375,1408.6119384765625,195.3748779296875
2023-10-13,747.4276123046875,935.9584350585938,555.4934692382812,992.4352416992188,351.6087951660156,1447.628662109375,191.37803649902344
2023-10-16,744.4345092773438,936.056884765625,555.0113525390625,1003.1677856445312,349.164306640625,1430.5186767578125,193.54103088378906
2023-10-17,750.0800170898438,938.5165405273438,555.7826538085938,1006.4125366210938,353.5145263671875,1420.23291015625,194.99871826171875
2023-10-18,739.6406860351562,928.5301513671875,552.1189575195312,991.2372436523438,349.8926696777344,1404.754638671875,191.5190887451172
2023-10-19,737.3045654296875,920.6591796875,550.720947265625,989.7896118164062,346.90936279296875,1434.42529296875,192.9297332763672
2023-10-20,741.125,917.7075805664062,542.9113159179688,978.7575073242188,353.1253967285156,1452.9693603515625,190.24952697753906
2023-10-23,732.9730834960938,914.9527587890625,533.125244140625,962.7335815429688,347.36834716796875,1419.243896484375,183.5724334716797
2023-10-25,728.3252563476562,901.3260498046875,536.2587280273438,953.89794921875,344.83404541015625,1397.188720703125,183.19627380371094
2023-10-26,712.2159423828125,893.9962768554688,527.3885498046875,970.470947265625,338.2089538574219,1399.1173095703125,177.88282775878906
2023-10-27,715.014404296875,898.0301513671875,541.03125,1001.12109375,339.7754211425781,1425.4747314453125,185.12417602539062
2023-10-30,722.7770385742188,909.9841918945312,544.9360961914062,987.5932006835938,342.7287902832031,1438.6781005859375,186.44076538085938
