Date,TCS.NS,INFY.NS,WIPRO.NS,HCLTECH.NS,TECHM.NS,MPHASIS.NS
2015-03-11,1014.6032104492188,406.4775695800781,108.9697036743164,381.3974304199219,520.9537353515625,290.46185302734375
2015-03-12,1019.468994140625,413.2020263671875,109.06124877929688,380.2211608886719,509.42620849609375,289.46453857421875
2015-03-13,1005.1827392578125,413.5931091308594,106.39005279541016,372.7935485839844,502.5434265136719,286.6939697265625
2015-03-16,997.3787231445312,422.2080993652344,107.55506134033203,381.01776123046875,504.2463684082031,285.0316162109375
2015-03-17,1005.7084350585938,417.3370666503906,107.08073425292969,377.7020263671875,510.4781188964844,284.58843994140625
2015-03-18,996.2302856445312,415.2882080078125,105.08356475830078,371.6728210449219,499.351806640625,286.767822265625
2015-03-19,1010.593505859375,415.46514892578125,105.69104766845703,362.920654296875,490.09759521484375,284.66229248046875
2015-03-20,1016.3153686523438,420.4945373535156,108.62020111083984,363.01336669921875,483.7853698730469,286.2137451171875
2015-03-23,1018.7286376953125,416.02398681640625,107.36366271972656,358.7530517578125,468.4509582519531,285.7334899902344
2015-03-24,1008.6671142578125,411.9260559082031,108.55363464355469,359.4754638671875,470.48370361328125,281.3744812011719
2015-03-25,1001.8357543945312,413.35107421875,110.02653503417969,373.1083068847656,468.1300048828125,281.15289306640625
2015-03-26,978.227294921875,399.7998352050781,105.16678619384766,365.79180908203125,464.421142578125,277.42193603515625
2015-03-27,978.8888549804688,410.1937561035156,101.87979888916016,356.69696044921875,460.6767272949219,281.26373291015625
2015-03-30,998.0989379882812,415.0087890625,103.75214385986328,363.2171630859375,447.16094970703125,280.6357727050781
2015-03-31,994.1282348632812,413.21136474609375,104.6591796875,363.1986389160156,449.12237548828125,284.7361755371094
2015-04-01,989.7295532226562,404.9410095214844,105.38313293457031,348.5468444824219,451.2620849609375,289.1689758300781
2015-04-06,991.5396118164062,405.73260498046875,103.37767791748047,345.2867736816406,458.85791015625,288.3193359375
2015-04-07,1006.214599609375,402.2493591308594,102.36245727539062,346.2130126953125,465.63360595703125,289.9447021484375
2015-04-08,1028.16796875,409.8956298828125,102.57048797607422,355.2152099609375,479.5061950683594,288.0977478027344
2015-04-09,1037.179443359375,412.5872802734375,102.71195983886719,357.1785888671875,478.15093994140625,286.0659484863281
2015-04-10,1032.9757080078125,416.11712646484375,102.80348205566406,358.3270263671875,470.8759765625,290.831298828125
2015-04-13,1033.656982421875,417.0205383300781,103.88528442382812,361.5870361328125,473.8715515136719,284.6253356933594
